Publication Date,Fiscal Year,Fundind Source Name,FPS Group,FPS Group Name,Agency Number,Agency Name,Revenue Category,Revenue Category Name,Revenue Class Code,Revenue Class Name,Budget Code,Revenue Source,Revenue Source Name,Revenue Structure Description,Adopted Budget Amount,Current Modified Budget Amount,Yr1_FY,Year 1 Revenue Amount,Year 2 Revenue Amount,Year 3 Revenue Amount,Year 4 Revenue Amount
2016 11 17,2017,City Funds,14,Tax Audit Revenue,002,Mayoralty,20,TAXES,006,PENALTIES & INT ON DELINQ TAX,0421,00135,TAX AUDIT REVENUE,TAX AUDIT REVENUE,713839000,713839000,2017,740839000,715871000,715889000,715903000
2016 11 17,2017,City Funds,16,State Tax Relief Program - STAR,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00026,STATE AID SCHOOL TAX RELIEF,STATE AID SCHOOL TAX RELIEF,204000000,204000000,2017,204000000,202000000,200000000,198000000
2016 11 17,2017,City Funds,16,State Tax Relief Program - STAR,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00088,STATE AID PIT RELIEF SCHOOLAID,STATE AID PIT RELIEF SCHOOL AD,352000000,352000000,2017,352000000,333000000,333000000,333000000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",002,Mayoralty,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,3469,00200,LICENSES - GENERAL,COMMISSIONS: STREET FAIRS,8898000,8898000,2017,8898000,8898000,8898000,8898000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",002,Mayoralty,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,3469,00250,PERMITS - GENERAL,STREET CLOSING PERMITS: FAIRS,130000,130000,2017,130000,130000,130000,130000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",056,Police Department,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,2510,00200,LICENSES - GENERAL,PISTOL LICENSES,3400000,3400000,2017,3400000,3000000,1800000,3300000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",056,Police Department,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,2510,00250,PERMITS - GENERAL,LONG GUN PERMITS,825000,825000,2017,825000,825000,825000,825000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",057,Fire Department,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,3100,00320,FRANCHISES - OTHER,PRIV. ALARM CO. FRANCHISES,1448000,1448000,2017,1448000,1448000,1448000,1448000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",072,Department of Correction,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,0401,00325,PRIVILEGES - OTHER,VENDING MACHINE COMMISSIONS,660000,660000,2017,660000,660000,660000,660000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",103,City Clerk,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,0101,00201,MARRIAGE LICENSES,MARRIAGE LICENSES,2889000,2889000,2017,2889000,2889000,2889000,2889000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",136,Landmarks Preservation Commission,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,1000,00250,PERMITS - GENERAL,LANDMARK PERMITS,5000000,5000000,2017,5100000,5100000,5100000,5100000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",156,NYC Taxi and Limousine Commission,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,0201,00200,LICENSES - GENERAL,TAXI LICENSES,39955000,39955000,2017,39955000,33820000,33520000,37920000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",156,NYC Taxi and Limousine Commission,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,0301,00200,LICENSES - GENERAL,HAIL LICENSES,3620000,3620000,2017,3620000,2400000,2530000,2530000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",801,Department of Small Business Services,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,0301,00250,PERMITS - GENERAL,WORK PERMIT-PLAN EXAMINATION,100000,100000,2017,100000,100000,100000,100000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",806,Housing Preservation and Development,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1530,00325,PRIVILEGES - OTHER,VENDING MACHINE COMMISSION,84000,84000,2017,84000,84000,84000,84000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",810,Department of Buildings,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,5111,00200,LICENSES - GENERAL,LICENSES FOR TRADESMEN,2140000,2140000,2017,2140000,2140000,2940000,2140000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",810,Department of Buildings,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,5111,00250,PERMITS - GENERAL,BUILDING PERMITS,19952000,19952000,2017,19952000,14000000,13000000,13000000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",810,Department of Buildings,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,5211,00250,PERMITS - GENERAL,ILLUMINATED SIGNS,2236000,2236000,2017,2236000,2236000,2236000,2236000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",810,Department of Buildings,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,5111,00251,CONSTRUCTION PERMITS,CONSTRUCTION PERMITS,149225000,149225000,2017,149225000,146826000,144172000,142885000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",816,Department of Health and Mental Hygiene,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,8100,00200,LICENSES - GENERAL,ANIMAL LICENSES,906000,906000,2017,906000,906000,906000,906000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",816,Department of Health and Mental Hygiene,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,3003,00250,PERMITS - GENERAL,DEATH DISPOSITION PERMITS,2080000,2080000,2017,2080000,2080000,2080000,2080000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",816,Department of Health and Mental Hygiene,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,8100,00250,PERMITS - GENERAL,"RESTAURANT,VENDOR & OTHER",8816000,8816000,2017,8816000,8816000,8816000,8816000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",826,Department of Environmental Protection,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,0051,00250,PERMITS - GENERAL,ASBESTOS PROGRAM,6300000,6300000,2017,6300000,6300000,6300000,6300000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",826,Department of Environmental Protection,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,0061,00250,PERMITS - GENERAL,AIR QUALITY PERMITS,5900000,5900000,2017,5900000,5900000,5900000,5900000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",827,Department of Sanitation,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,1081,00200,LICENSES - GENERAL,TRANSFER PERMITS,563000,563000,2017,563000,563000,563000,563000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",827,Department of Sanitation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1081,00304,DUMPING PRIVILEGES,DUMPING FEES,900000,900000,2017,900000,900000,900000,900000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",827,Department of Sanitation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1081,00325,PRIVILEGES - OTHER,ABANDON VEHICLES,275000,275000,2017,275000,275000,275000,275000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",827,Department of Sanitation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1814,00325,PRIVILEGES - OTHER,LANDFILL GAS CONCESSION,3000000,3000000,2017,13682000,3000000,0,0
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",829,Business Integrity Commission,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,1001,00200,LICENSES - GENERAL,PRIVATE CARTER LICENSES,5000000,5000000,2017,5000000,4200000,5000000,4200000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",836,Department of Finance,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,3303,00200,LICENSES - GENERAL,CIGARETTE LICENSE FEES,50000,50000,2017,50000,50000,50000,50000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,2000,00250,PERMITS - GENERAL,SIDEWALK INTERRUPTION PERMITS,8335000,8335000,2017,8335000,8373000,8412000,8412000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,2300,00250,PERMITS - GENERAL,STREET OPENING/UTILITY PERMITS,17264000,17264000,2017,17264000,17340000,17418000,17418000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,3000,00250,PERMITS - GENERAL,INTERCITY BUS PERMITS,56000,56000,2017,56000,56000,56000,56000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,4180,00250,PERMITS - GENERAL,OVRWGHT/OVRSIZE TRUCK PERMITS,1950000,1950000,2017,1950000,1950000,1950000,1950000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,4181,00250,PERMITS - GENERAL,EMERG. MANHOLE OPEN. PERMITS,550000,550000,2017,550000,550000,550000,550000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1560,00320,FRANCHISES - OTHER,FRANCHISES: BUS STOP & OTHER,55254000,55254000,2017,55254000,56779000,58348000,59961000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1420,00325,PRIVILEGES - OTHER,CONCESSION RENTS,234000,234000,2017,234000,234000,234000,234000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1560,00325,PRIVILEGES - OTHER,REVOCABLE CONSENTS,16380000,16380000,2017,16380000,16869000,17375000,17895000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,1561,00325,PRIVILEGES - OTHER,ELECTRICAL TRANSFORMERS,40267000,40267000,2017,42749000,41144000,42039000,42954000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",841,Department of Transportation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,3000,00325,PRIVILEGES - OTHER,FERRY PERMITS & CONCESSIONS,3320000,3320000,2017,3320000,3320000,3320000,3320000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",846,Department of Parks and Recreation,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,1100,00250,PERMITS - GENERAL,RECREATIONAL FACILITY PERMITS,5627000,5627000,2017,5627000,5627000,5627000,5627000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",846,Department of Parks and Recreation,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,2490,00325,PRIVILEGES - OTHER,PARK CONCESSIONS,45010000,45010000,2017,45010000,45397000,45397000,45397000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",858,Department of Information Technology and Telecommunications,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,0600,00250,PERMITS - GENERAL,FILM APPLICATION PROCESS FEES,1020000,1020000,2017,1020000,1020000,1020000,1020000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",858,Department of Information Technology and Telecommunications,21,"LICENS. PERM. PRIV, FRANCHISES",008,PERMITS,5320,00250,PERMITS - GENERAL,PREMIER FEES,274000,274000,2017,274000,274000,274000,274000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",858,Department of Information Technology and Telecommunications,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,5000,00320,FRANCHISES - OTHER,CABLE TELEVISION FRANCHISES,142733000,142733000,2017,142733000,140533000,138533000,136533000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",858,Department of Information Technology and Telecommunications,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,5001,00320,FRANCHISES - OTHER,MOBILE TELECOM FRANCHISES,3520000,3520000,2017,3520000,3520000,3520000,3520000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",858,Department of Information Technology and Telecommunications,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,7900,00320,FRANCHISES - OTHER,WIFI REVENUE,23330000,23330000,2017,23330000,25830000,25830000,25830000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",866,Department of Consumer Affairs,21,"LICENS. PERM. PRIV, FRANCHISES",007,LICENSES,2201,00200,LICENSES - GENERAL,CONSUMER AFFAIRS LICENSES,7466000,7466000,2017,7466000,8012000,7466000,8012000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",866,Department of Consumer Affairs,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,2201,00320,FRANCHISES - OTHER,FEES ON SIDEWALK CAFES,9116000,9116000,2017,9116000,9116000,9116000,9116000
2016 11 17,2017,City Funds,17,"Licenses, Permits & Franchises",866,Department of Consumer Affairs,21,"LICENS. PERM. PRIV, FRANCHISES",009,FRANCHISES AND PRIVILEGES,2401,00325,PRIVILEGES - OTHER,BINGO AND GAMES OF CHANCE,50000,50000,2017,50000,50000,50000,50000
2016 11 17,2017,City Funds,18,Interest Income,015,Office of the Comptroller,29,INTEREST INCOME,045,INTEREST INCOME,1001,56001,INTEREST INCOME - OTHER,INTEREST OVERNIGHT INVESTMENTS,44960000,44960000,2017,44960000,75410000,99560000,100960000
2016 11 17,2017,City Funds,18,Interest Income,015,Office of the Comptroller,29,INTEREST INCOME,045,INTEREST INCOME,1001,56003,INTEREST-DEBT SERVICE FUND,INTEREST ON DEBT FUND,11530000,11530000,2017,11530000,21740000,27850000,29920000
2016 11 17,2017,City Funds,18,Interest Income,836,Department of Finance,29,INTEREST INCOME,045,INTEREST INCOME,1302,56001,INTEREST INCOME - OTHER,INTEREST-COURT & FINE TRUST,700000,700000,2017,700000,1050000,1330000,1340000
2016 11 17,2017,City Funds,18,Interest Income,836,Department of Finance,29,INTEREST INCOME,045,INTEREST INCOME,1101,56002,INTEREST INCOME- SALES TAX,INTEREST ON SALES TAX,4020000,4020000,2017,4020000,7080000,9630000,10110000
2016 11 17,2017,City Funds,19,Charges for Service,002,Mayoralty,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,5000,00470,OTHER SERVICES AND FEES,VENDEX PROCESSING FEE,400000,400000,2017,400000,400000,400000,400000
2016 11 17,2017,City Funds,19,Charges for Service,002,Mayoralty,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0406,00476,ADMINISTRATIVE SERV TO PUBLIC,COUNTY CLERK FEES,3700000,3700000,2017,3700000,3700000,3700000,3700000
2016 11 17,2017,City Funds,19,Charges for Service,002,Mayoralty,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0421,00476,ADMINISTRATIVE SERV TO PUBLIC,STATEN ISLAND REGISTER FEES,1300000,1300000,2017,1300000,1300000,1300000,1300000
2016 11 17,2017,City Funds,19,Charges for Service,003,Board of Elections,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0301,00476,ADMINISTRATIVE SERV TO PUBLIC,PHOTOCOPIES & SEARCHES,55000,55000,2017,55000,55000,55000,55000
2016 11 17,2017,City Funds,19,Charges for Service,004,Campaign Finance Board,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,2000,00470,OTHER SERVICES AND FEES,COPY FEES,2000,2000,2017,2000,2000,2000,2000
2016 11 17,2017,City Funds,19,Charges for Service,015,Office of the Comptroller,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0501,00470,OTHER SERVICES AND FEES,"CUSTODY,COMPUTER,FILING FEES",75000,75000,2017,75000,75000,75000,75000
2016 11 17,2017,City Funds,19,Charges for Service,015,Office of the Comptroller,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,1200,00470,OTHER SERVICES AND FEES,CIVIL PENALTIES,70000,70000,2017,70000,70000,70000,70000
2016 11 17,2017,City Funds,19,Charges for Service,021,Office of Administrative Tax Appeals,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,1001,00470,OTHER SERVICES AND FEES,TAX COMMISSION FEE,1475000,1475000,2017,1475000,1475000,1475000,1475000
2016 11 17,2017,City Funds,19,Charges for Service,030,Department of City Planning,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0101,00470,OTHER SERVICES AND FEES,ZONING VERIFICATION LETTERS,12000,12000,2017,12000,12000,12000,12000
2016 11 17,2017,City Funds,19,Charges for Service,030,Department of City Planning,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0101,00476,ADMINISTRATIVE SERV TO PUBLIC,CEQR FEES,1031000,1031000,2017,1031000,1031000,1031000,1031000
2016 11 17,2017,City Funds,19,Charges for Service,032,Department of Investigation,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0301,00470,OTHER SERVICES AND FEES,FEES FROM MARSHALS,2345300,2345300,2017,2345300,2345300,2345300,2345300
2016 11 17,2017,City Funds,19,Charges for Service,032,Department of Investigation,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0601,00470,OTHER SERVICES AND FEES,DOI FINGERPRINT FEES,341000,341000,2017,341000,341000,341000,341000
2016 11 17,2017,City Funds,19,Charges for Service,032,Department of Investigation,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,0701,00470,OTHER SERVICES AND FEES,BACKGROUND INVESTIGATION FEE,506740,506740,2017,506740,506740,506740,506740
2016 11 17,2017,City Funds,19,Charges for Service,040,Department of Education,22,CHARGES FOR SERVICES,010,GENERAL GOVERNMENTAL CHARGES,1225,00460,EDUCATION SERVICES/FEES,SCHOOL LUNCH FEES,12750000,12750000,2017,12750000,12750000,12750000,12750000
